link,name,bio,degree/0,certifications/0,certifications/1,academic_position/0,publication/0,grand/0,degree/1,degree/2,academic_position/1,publication/1,publication/2,publication/3,publication/4,publication/5,publication/6,publication/7,publication/8,publication/9,publication/10,publication/11,publication/12,publication/13,publication/14,publication/15,publication/16,publication/17,publication/18,publication/19,publication/20,publication/21,publication/22,publication/23,publication/24,grand/1,grand/2,grand/3,grand/4,grand/5,grand/6,grand/7,grand/8,grand/9,grand/10,grand/11,grand/12,grand/13,grand/14,grand/15,grand/16,grand/17,grand/18,grand/19,grand/20,grand/21,grand/22,grand/23,grand/24,certifications/2,certifications/3,academic_position/2,academic_position/3,academic_position/4,degree/3,degree/4,degree/5,degree/6,degree/7,degree/8
https://profiles.uts.edu.au/Fatma.Alwidyan,Fatma Al-widyan,"Dr. Fatma Al-Widyan is leading the undergraduate student innovation in the fields of clean energy and sustainability in the Faculty of Engineering & Information Technology for  (FSAE Electric Car Project, FSAE Autonomous Car Project,  UTS Rocketry Project and Rover Project).

Dr. Al-widyan has a genuine interest in the teaching and learning process. She believes a great teacher will be of the most influential people in students’ academic and social development. She does her best to give them the guidance, encouragement, compassion, and strength to eventually create engineers who bring their knowledge into reality and pass on the love of learning.

As the director of FEIT's Undergrad Teams, she believes it is not as much about the project you involve yourself in as it is about inspiring each other as young engineers to be creative, competent, productive, well-respected, and highly skilled leaders that can work successfully in any discipline. Also, to be an added value to our society and drive innovation for our nation. 

Dr. Al-widyan received her PhD in Transportation/ Passenger Behaviour from the University of Technology Sydney in 2018. Her research proposed a novel effort-based theoretical framework for pedestrian route choice problems to discover principles that pedestrians use to select their routes. A pedestrian chooses their route by optimising certain criteria such as distance, time, and effort. Several possible criteria that could be used to predict the route choices of a pedestrian are re-assessed. In most cases, the common criteria of a pedestrian route choice are route length and travel time. The effort is proposed as an additional criterion, which indicates metabolic energy.",None,None,,None,Measuring Road Conditions with an IMU and GPS Monitoring System,Variation to RMRCR/Downer agreement - Integrated Passenger Behaviour - Dwell Track,,,,An effort-based evaluation of pedestrian route choice,A Bottleneck Investigation at Escalator Entry at the Brisbane Central Train Station,An empirically verified Passenger Route Selection Model based on the principle of least effort for monitoring and predicting passenger walking paths through congested rail station environments,An empirically verified passenger route selection model based on the principle of least effort for monitoring and predicting passenger walking paths through congested rail station environments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Ahmed.Al-Zubaydi,Ahmed Al-Zubaydi,"Memberships

Member of the ASME, The American Society of Mechanical Engineers

Member of ASHRAE, The American Society of Heating, Refrigerating and Air-Conditioning Engineers

Member of CIBSE, Chartered Institution of Building Services Engineers

Member of AIRAH, The Australian Institute of Refrigeration, Air Conditioning and Heating

Member of SBSE, The Society for Building Science Educators

Member of ausSCIG, Australian Solar Cooling Interest Group

Scholarships

Research Training Program (RTP) Scholarship

Awards:

The UTS FEIT 2017 Technology Research Showcase People’s Choice Prize: Winner",PhD,None,,None,Experimental investigation of counter flow heat exchangers for energy recovery ventilation in cooling mode,None,,,,CFD Modelling and Analysis of Different Designs Plate Heat Exchangers,Design and Modelling of Water Chilling Production System by the Combined Effects of Evaporation and Night Sky Radiation,Building Models Design And Energy Simulation With Google Sketchup And Openstudio,"Design, construction and calibration of an instrument for measuring the production of chilled water by the combined effects of evaporation and night sky radiation",Experimental study of a novel water-spraying configuration in indirect evaporative cooling,Architectural modifications : performance assessment of the solar cooling system for a small size office building,Solar air conditioning and refrigeration with absorption chillers technology in Australia–an overview on researches and applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Con.Alaveras,Con Alaveras,"Con Alaveras has over 10 years of experience in the education sector, previously holding senior roles at the Centre for Continuing Education, University of Sydney and the University of Newcastle. Prior to that, Con held multiple roles within the financial services sector in customer facing, project management and technical back office roles.

Con has extensive knowledge in customer experience management, student engagement and business development within learning and development in tertiary education. A strategic thinker with significant leadership, client services and people management experience, 

Con focuses on utilising his well-rounded knowledge of continuing professional education to deliver real tangible benefits to organisations.",None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Carin.Alberts,Carin Alberts,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Alicia.Albiston,Alicia Albiston,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Saeed.Anwar,Saeed Anwar,"I am a Research Scientist at Data61, Commonwealth Scientific and Industrial Research Organization (CSIRO , Australia in Cyber-Physical Systems, adjunct Lecturer at Australian National University (ANU) and visiting fellow at University of Technology Sydney (UTS). I completed my PhD at the Computer Vision Research Group (CVRG) at Data61, CSIRO and College of Electrical & Computer Science (CECS), Australian National University (ANU) under supervision of Prof. Fatih Porikli (IEEE Fellow and a Professor in the Research School of Engineering, Australian National University (ANU), Canberra, and currently acting as the Chief Scientist at Huawei, Santa Clara) and Dr. Cong Phuoc Huynh (currently with Amazon and Adjunct Research Fellow, Australian National University).",PhD,None,,Lecturer,COVID-19 Detection from Radiographs: Is Deep Learning Able to Handle the Crisis?,None,,,,Investigating Attention Mechanism in 3D Point Cloud Object Detection,Transformers in pedestrian image retrieval and person re-identification in a multi-camera surveillance system,Light-DehazeNet: A Novel Lightweight CNN Architecture for Single Image Dehazing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Alice.Ao,Alice Ao,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Sami.Aoude,Sami Aoude,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Therese.Apolonio,Therese Apolonio,"Therese Apolonio is a researcher at the Centre for the Advancement of Indigenous Knowledges (CAIK) and a member of the Indigenous Land and Justice Research Group. She is a first generation settler of Filipina descent. Her research aims to support Aboriginal land holders and their aspirations for cultural revitalisation, economic prosperity and self-determination. 

She is currently working on an Australian Research Council funded study led by Professor Heidi Norman, which investigates how the Aboriginal land estate in NSW might be leveraged to address climate change and generate communal wealth. As NSW embarks on bold energy transition plans, this project has calculated the solar and wind generation potential of the Aboriginal land estate and worked with Local Aboriginal Land Councils to harness the renewable energy development in their region. 

Therese is an experienced research assistant and project officer. She has worked on various projects including a workshop to develop a renewable energy strategy for Local Aboriginal Land Councils in Far Western NSW; a study of how the Aboriginal Land Council network has supported 'Sorry Business'; A Local Aboriginal Land Council Review of the Land Negotiation Program, commissioned by the NSW Department of Planning, Industry and Environment; an edited collection titled, Does the Media Fail Aboriginal Political Aspirations? 45 Years of News Media Reporting of Key Political Moments (eds. Archie Thomas, Andrew Jakubowicz and Heidi Norman) and the associated podcast 'Black Stories Matter', funded by NSW Aboriginal Affairs; and a social and cultural history of the NSW Aboriginal Rugby League Knockout. 

She co-developed and coordinates the FASS Yaliwunga Indigenous Placement Program and the Yaliwunga Internship. Both programs broadly aim to contribute to a well-resourced and self-determining Indigenous Sector; provide Indigenous sector and community with access to data, skills and technical expertise; Build sustainable and nourishing ways of working in the Indigenous sector; build UTS graduates’ understanding of working sensitively and appropriately with Indigenous people, organisations and on Indigenous issues and concerns; enhance UTS students’ employability outcomes, develop transferrable and technical skills in a range of contexts, and provide students with practical experience in research collaboration and community consultation. 

Therese holds a Bachelor of Science and Bachelor of Arts (Honours I) from the University of Sydney. In 2018, she was awarded the Charles Trimby Burfitt Prize for the Study of Australian History Prior to 1900 for her Honours thesis, which explored the provenance of a skull collected from the Murrumbidgee River, in the area now known as Balranald. The skull is associated with the Bunyip, a creature believed to live in deep water holes. The skull was an object of contestation amongst Australia's first natural historians and continues to be an important object to Mutthi Mutthi people.",None,None,,None,Advancing Aboriginal interests in the New South Wales renewable energy transition,None,,,,"Sorry Business and Local Aboriginal Land Councils: more than death, dying and funerals",Mapping Local and Regional Governance: Reimagining the New South Wales Aboriginal Sector,"Sorry Business, community benefit and the Australian funeral market: navigating a path for Aboriginal communities",Local Aboriginal Land Councils’ evaluation of the Land Negotiation Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Lorely.AponteOrtiz,Lorely Aponte Ortiz,"Lorely Aponte is a Lecturer in the School of International Studies and Education where she teaches Spanish language and culture. She has extensive teaching experience and has participated in the development and implementation of innovative pedagogies to promote second language learning at university level. She has a collaborative learning approach to enhance student engagement and sense of belonging.

Lorely is member of the Languages and Cultures Network for Australian Universities. She earned her Masters in Interpreting and Translating at Macquarie University and is a NAATI certified Interpreter/Translator since 2006.","MA, Interpreting and Translating",Certified Professional Interpreter/Translator,,None,Promoting Collaborative Learning in the Spanish Language and Culture Classroom,None,Graduate Certificate in Transdisciplinary Learning in Higher Education,,,Teaching L2 Spanish at university level: A functional approach to developing academic literacy in a teaching curriculum,Genre and advancedness in language teaching at tertiary level: Towards bridging the language-culture divide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Roslyn.Appleby,Roslyn Appleby,"Roslyn Appleby is an Industry Fellow (honorary) with the School of International Studies and Education. She has qualifications in architectural science, visual arts, and second language education. She has been involved in applied linguistics and language education for many years, in both the private and public education sectors. At UTS she works across adult education, applied linguistics and TESOL. Her research interests include the politics of language, gender, and sexuality; political discourse analysis; posthumanism and postcolonial feminist geographies.

Roslyn’s research has been published in a wide range of fields including gender and sexuality; teacher identity; critical applied linguistics; post-colonialism; and place-based education. Her book, ELT, Gender and International Development: Myths of Progress in a Neocolonial World (opens an external site), draws on the narratives of white women as English language teachers in the neocolonial world of international development. It explores the paradoxes of language as aid, and questions the mythical power of English to deliver on the promises of a brighter future for the developing world. Her book on Men and Masculinities in Global English Language was published by Palgrave Macmillan in 2014. Her latest book, Sexing the Animal in a Posthumanist World: A Critical Feminist Approach was published by Routledge in 2019.",PhD,None,,None,None,Effects of gender on Australian English language teachers in Japan,MA (Language and Literacy),DipEd (Visual Arts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSc (Architecture),,,,,
https://profiles.uts.edu.au/Jessica.Appleton,Jessica Appleton,"Dr Jessica Appleton is a registered nurse, lecturer and early career researcher. Jessica’s clinical specialty is paediatric nursing and has experience in general paediatrics as well as paediatrics speciality areas including haematology, oncology, and perioperative (recovery).
Jessica has research experience in mixed methods research with training and experience in qualitative and quantitative data collection and analysis.

Jessica completed her PhD in 2020 which explored infant formula feeding in the context of rapid weight gain in infancy (a risk factor for later overweight or obesity). Her PhD identified a gap in evidence around knowledge of infant formula feeding particularly the information and advice, or lack thereof, provided by nurses, midwives and other health professionals to parents feeding with infant formula. Her PhD was a mixed methods research design and involved secondary analysis of a longitudinal infant feeding cohort and qualitative interviews with parents about their infant feeding experience. 

Since her PhD Jessica worked as the Research Manager (2020-2022) at Tresillian Family Care Centres - Australia’s largest early parenting service. She has been, and continues to be involved in a number of research projects in the areas of infant health, parenting, parental mental health, child and family health nursing and health service evaluation.",PhD,None,,Casual Academic,None,None,Graduate Certificate in Children's Nursing,Bachelor of Nursing (Honours) with First Class Honours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Nursing,,,,,
https://profiles.uts.edu.au/Kristine.Aquino,None,None,None,None,,None,Locating Race in Migration and Diversity Studies,"Social Resilience, Migrant Integration and Informal Sport in Public Space",,,,The right to the city: outdoor informal sport and urban belonging in multicultural spaces,Anti-racism and everyday life,Foul Play: Are clubs killing community sport?,Pushing casual sport to the margins threatens cities' social cohesion,Racism and Resistance among the Filipino Diaspora,Blaming migrants won't solve Western Sydney's growing pains,"Culture, community and sustainable food practices: A study of community gardens in Blacktown LGA",Anti-racism ‘from below’: exploring repertoires of everyday anti-racism,Meet the Figueroas: Inside the Filipino community's basketball obsession,Anti-racism ‘from below’: exploring repertoires of everyday anti-racism,More than a Game: Embodied Everyday Anti-Racism among Young Filipino-Australian Street Ballers,Photography methodology in community research,"Cultural, linguistic and migrant diversity in Greater Western Sydney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/George.Argyrous,George Argyrous,"Dr. George Argyrous is a Research and Evaluation Manager at the UTS Institute for Public Policy and Governance (IPPG) and was formerly ANZSOG Senior Lecturer in Evidence-Based Decision-Making and director of the Evidence and Evaluation Hub. He is an expert in the application of statistics and research methods to social, economic and evaluation research, and the macroeconomics of government spending.

George has managed and taught a number of research methods, statistics and evaluation training courses for public sector agencies, including the ACT Government, the NSW Agency for Clinical Innovation and the WA Public Sector Commission. He has also worked as a consultant to many public and private sector agencies on a range of research projects and evaluations. This includes: the Health Education Training Institute, Urbis, the NSW Police Service, LegalAid NSW, Victorian Transport Accident Commission, NSW Department of Premier and Cabinet, Optus Communications, NSW Department of Education, and the Australian Council for the Arts.",None,None,,None,Pacific Islands Emergency Management Alliance (PIEMA) Project Mid-Term Review Report,Development and Delivery of a Value of Sport report for NSW,,,,Evaluation of the Community Recovery Fund for the Southern Tasmania Extreme Weather Event,Disabled workers or disabled labor markets? Causes and consequences,"Growth, distribution and effective demand: Alternatives to economic orthodoxy: alternatives to economic orthodoxy",Preface,"Convict Transportation to New South Wales, 1787–1849: Mortality Rates Reconsidered",A monitoring and evaluation framework for disaster recovery programs,Commissioning Human Services: Lessons from Australian Convict Contracting,Cost-benefit analysis as operationalized neoclassical economics: From evidence to folklore,How does paid work affect who does the childcare? An analysis of the time use of Australian couples,The Effect of a First Born Child on Work and Childcare Time Allocation: Pre-post Analysis of Australian Couples,The Coming of Age of Information Technologies and the Path of Transformational Growth,A quality assessment tool for non-specialist users of regression analysis,"Transformational growth, endogenous demand, and a developmental ELR program",Evidence Based Policy: Principles of Transparency and Accountability,Cumulative causation and industrial development: The regional stage,Cumulative causation and industrial development: The regional stage,The US economy during World War II,Statistics for social and health research with a guide to SPSS,Labor Market Disability: Implications for the Unemployment Rate,Setterfield on cumulative causation and interrelatedness: a comment,Cumulative causation and industrial evolution: Kaldor's four stages of industrialization as an evolutionary model,Origins and evolution of the Australian machine tool industry: Cumulative causation and its effects,The theory of evolution and the evolution of theory: Veblen's methodology in contemporary perspective,Kuhn's paradigms and neoclassical economics: Reply to dow,ACT - External validation of the Post Strategy Evaluation,Post evaluation of Smoking Cessation in NSW Cancer Services,Supporting the Disability Strategy,Centre for Road Safety - Local Government & Towards Zero Community Partnerships Project,Cost of Living Research 2019,Sustainability Victoria - Building local government capability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Amir.Armanious,Amir Armanious,"Dr Amir Armanious is a subject coordinator and lecturer of finance and economics subjects with around two decades of academic experience. His teaching experience covers undergraduate, Master, MBA, and PhD programmes. Amir has developed diversified experience in lecturing at local, regional, and international universities. Amir taught hundreds of courses, thousands of face-to-face lectures, and defended around 65 MBA theses in addition to supervising and examining more than 40 graduation projects and honours theses in economics and finance fields.

Amir received UTS Vice-Chancellor Learning and Teaching Excellence Award and SIBT Teaching Excellence Award for outstanding performance in designing and lecturing subject material and assessments. Amir applies a wide range of teaching methodologies, including online delivery of course materials, flipped classroom, and constructivist approach to course delivery.

Amir has two Ph.D. degrees in applied finance and financial economics. Amir earned three master's degrees in finance, economics, and strategic planning. In addition, Amir got three graduate certificates.

Amir participates in international conferences and workshops and publishes several working papers, books, and book chapters. Amir is an associate editor and reviewer in several journals and a coordinator of academic conferences.

In addition, Amir has diversified professional experience as Amir works as a financial consultant for the United Nations, government institutions, MNCs, and start-ups.",Ph.D. in Applied Finance,Flexible Learning and Blended Learning (FLaMe),Teaching Induction Program (TIP),None,ECONOMIC PRINCIPLES IN THE INTERNATIONAL HANDBOOK ON TEACHING AND LEARNING ECONOMICS,None,Ph.D. in Economics,Master Degree in Financial Management,,"Financial Dependence, Fragility and Interconnectedness among Eurozone Financial Sectors: Evidence from Copulas",Too-Systemic-to-Fail: Empirical Comparison of Systemic Risk Measures in the Eurozone Financial System,"Systemic Risk Contribution of Banks, Diversified Financials, Insurance and Real-estate in the Eurozone",Financial Dependence Patterns among Arab Banking Sectors in the Aftermath of the 2007 Global Financial Crisis,Measuring Systemic Risk and Financial Linkage in the Eurozone Financial System: European CoVaR Approach,Anatomy of the 2009 Eurozone Sovereign Debt Crisis: Kindleberger-Minsky Paradigm,A Comparative Study of the 2008 Global Financial Crisis and the 1929 Great Depression,Fiscal Sustainability in Eurozone Sovereign Debt Members,Social Network Analysis of European Financial Crisis Interconnectedness,Arab Stock Markets Integration: The Case Study of Agadir Agreement Countries,European Capital Market Integration,The Sovereign Debt Crisis in EU and MENA: Mechanisms and Challenges,Impact of European Sovereign Debt Crisis on Sustainable Development,Anatomy of the 1929 and 2008 Financial Crises,Globalization Effect on Stock Exchange Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foundations in Learning and Teaching (FILT),,,,,Master Degree in Strategic Planning,Master Degree in Economics,Certified Public Accountant,Certified Financial Technician (CFTe),Certified International Trade and Marketing Specialist (CITMS),Bachelor Degree in Economics
https://profiles.uts.edu.au/Gillian.Armstrong,Gillian Armstrong,"Dr Gill Armstrong is a UK registered Architect (ARB) and Chartered Architectural Technologists (MCIAT). Her research focuses on sustainable adaption and regulation of existing buildings, and inclusive pedagogies in higher education. Gill works with academic and industry partners to develop best practices for adapting buildings already standing, to meet climate challenges and to build urban resilience capacity. She is specifically interested in strategies to address premature obsolescence in the built environment, and mapping vacancy as a key indicator of risk of obsolescence in property markets. Recently Gill has developed a new method to visualise vacancy across building stocks, through repurposing LGA taxation data. Gill applies a socio-technical lens to unpack the adaption process and building regulation compliance. Her PhD received a research grant from the Australian Building Codes Board (ABCB).

Previously, Gill has spent over 10 years in private architectural practice, and prior to emigrating to the UK, she was a Senior Lecturer at the University of Central Lancashire. Gill is a qualified teacher and also the Education Officer and founder Committee member of Chartered Institute of Architectural Technology Australasia Centre.",PhD - The Adaptive Reuse Predicament,None,,Senior Lecturer in Architectural Studies,Educational Trends Exposed: How to be a Critical Consumer,The Sustainable Temporary Adaptive Reuse (STAR) Toolkit,Post-Graduate Certificate in Education (PGCE),Diploma Professional Practice - Archittecture (Part III),Course Coordinator,Vacancy Visual Analytics Method: Evaluating adaptive reuse as an urban regeneration strategy through understanding vacancy,"Urban Regeneration in Australia: Policies, Processes and Projects of Contemporary Urban Change",From Urban-Scape to Human-Scape: COVID-19 Trends That will Shape Future City Centres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor in Architecture (Commendation),,,,,
https://profiles.uts.edu.au/Tommaso.Armstrong,Tommaso Armstrong,None,None,None,,None,SNS and the lived experiences of queer youth,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Matthew.Arnold-1,Matthew Arnold,"Matthew Arnold is an Associate Professor in Applied Physics; he was appointed to this position in 2018 having joined UTS in 2007.

He was awarded a PhD degree from the University of Otago (NZ) in physics in 2005 for his work on innovative planar processing techniques for obliquely deposited polarizing filter arrays. He has held visiting positions at the Fraunhofer Institute Jena (2001), UTS (2006), University of Southampton (2008) and University of Sydney (2011).

A/Prof Arnold's research addresses interaction between light and nanostructures, including anisotropic dielectrics, near-field imaging, optimizing plasmonic resonances, and new plasmonic materials. He  has contributed to industrial collaboration in Australia and the UK.  A/Prof Arnold has co-authored over 50 peer-reviewed publications.",PhD,None,,Associate Professor,None,None,BSc(Hons),,Senior Lecturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lecturer,,,,,,,,
https://profiles.uts.edu.au/Sheena.Arora,Sheena Arora,"Dr Sheena Arora is a Senior Research Fellow at the Centre for Health Economics Research and Evaluation (CHERE) at the University of Technology Sydney.

She is a health economist with expertise in applied economic evaluation focusing on child and caregiver health.

Her work involves two areas:

• Health Technology Assessment –considerable experience in the economic evaluation of pharmaceutical products and medical devices through her work as senior evaluator for the Pharmaceutical Benefits Advisory Committee and Medical Services Advisory Committee.

• Research – with a focus on economic evaluations of psychosocial interventions in children and individuals with a disability. She is also involved as a health economist in a study evaluating a nurse-led intervention for survivors of childhood brain cancer. 

Her PhD explored the economic implications of childhood intellectual disability.

She has considerable experience working with large-scale studies and has been involved in the design and implementation of trial based economic evaluations, including the design of data collection instruments, the application of linked data, costing of programs and evaluation of outcome data.

She has conducted complex economic data analyses using advanced statistical methods, including the use of panel data techniques and the design and analysis of discrete choice experiments.

“My family has many doctors, and I had an early interest in health and nutrition, so health economics became an obvious choice,” she said.",Master of Public Health,None,,Research Assistant,None,Provision of Services to review existing Health Technology Assessment processes as per Strategic Agreement between the Commonwealth and Medicines Australia,"BSc, Nutrition, Economics",,Tutor,,,,,,,,,,,,,,,,,,,,,,,,,"Assessing benefits of extended genomic newborn screening trialled on 100,000 infants from Generation Victoria",Health- and Pharmaco-economic National Technical Service,Evaluation of Appropriate Early Guilty Pleas Reform,MSAC 1604: PIK3CA testing in advanced breast cancer for patients who have progressed following treatment with an aromatase inhibitor (CHERE),MSAC 1635: ADAR commentary for Transcatheter aortic valve implantation via transfemoral delivery using the SAPIEN 3 device for low risk patients (CHERE),MSAC 1603: Commentary of Applicant developed Assessment report (ADAR) (CHERE),Provision of External Evaluation of Pharmaceutical Benefits Advisory Committee (PBAC) and Health Technology Related Submissions For the Department of Health (CHERE),A new nurse-led intervention to re-engage childhood brain cancer survivors (CHERE),Economic evaluation of the COACH Program (CHERE),Expedited review for the treatment of Major Depressive Disorder (CHERE),MSAC 1623: ADAR Commentry for LuxturnaTM (voretigene neparvovec) for the treatment of biallelic RPE-65-mediated Inherited Retinal Dystrophies (CHERE),Economic evaluation of the IMBED study,CSRI questionnaire data analysis,Health and pharmaco-economic national technical services for the support for cancer clinical trials program,"Independent Review Work with Agency for Care Effectiveness (ACE), Singapore",Health Data Analytics Panel,Provision of External Evaluation of Pharmaceutical Benefits Advisory Committee (PBAC) and Health Technology Related Submissions For the Department of Health (Health/077/1516),Mental Health of Young People with Developmental Disabilities,Pharmaceutical Benefits Scheme (PBS) Medicines Review Panel,Cost Effectiveness of Drug and Alcohol Consultation Liaison Services on Patients and Health Services in NSW,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/student_JaninduSithumini.Arukgoda,Janindu Arukgoda,None,PhD,None,,None,Towards Adapting Autonomous Vehicle Technology for the Improvement of Personal Mobility Devices,None,BSc. Eng. (Hons),,,Localising PMDs through CNN Based Perception of Urban Streets,Representation of uncertain occupancy maps with high level feature vectors,Robot localisation in 3D environments using sparse range measurements,Multistage bayesian autonomy for high-precision operation in a large field,Localization System for Carers to Track Elderly People in Visits to a Crowded Shopping Mall,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,Environment Representation for Mobile Robot Localisation (Invited Paper),Vector Distance Function Based Map Representation for Robot Localisation,Vector distance function based map representation for robot localisation,A Word Sense Disambiguation Technique for Sinhala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Ara.Asatryan,Ara Asatryan,None,Master Degree in Radiophysics and Electronics (First Class Honours),None,,None,Anderson localization of classical waves in weakly scattering one-dimensional Levy lattices,None,,,,Summation of a Schlömilch type series,Two-dimensional Green’s tensor for gyrotropic clusters composed of circular cylinders,Mode-based analysis of silicon nanohole arrays for photovoltaic applications.,Positional disorder in nanowire array photovoltaics,A Semi-Analytic Approach to Optimizing the Absorption of Dielectric Nanostructures,Absorption Enhancement Using Dielectric Gratings for Thin Film Solar Cells,Optimizing photovoltaic charge generation of nanowire arrays: A simple semi-analytic approach,Absorption enhancing proximity effects in aperiodic nanowire arrays.,Local density of states of chiral Hall edge states in gyrotropic photonic clusters,Disorder in silicon nanowire arrays for photovoltaic applications,Nanowire array photovoltaics: Radial disorder versus design for optimal efficiency,Anderson localization in metamaterials and other complex media: (Review Article),Modal formulation for diffraction by absorbing photonic crystal slabs,Plane-wave Scattering By A Photonic Crystal Slab: Multipole Modal Formulation And Accuracy,Transmission And Anderson Localization In Dispersive Metamaterials,Absorption of silicon nanowire arrays on silicon and silica substrates,Analysis of enhanced absorption in dense silicon nanowire arrays,Angular dependence of absorption in silicon nanowire arrays,Dispersion effects on the Anderson localization in disordered one dimensional metamaterial stacks,Dispersion effects on the Anderson localization in disordered one dimensional metamaterial stacks,Fast simulation of slab photonic crystal structures using modal methods,Semi-analytical formulations for the surface modes of photonic woodpiles,Novel modeling techniques for photonic devices,Modal analysis of enhanced absorption in silicon nanowire arrays.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Nader.Ascharsobi,Michael Ascharsobi,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Cassandra.Ashford,Cassy Ashford,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Monique.Ashley,Monique Ashley,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Jessica.Ashton,Jessica Ashton,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
